session_id,timestamp,item_id,price,quantity
489807,2014-04-01T07:42:09.535Z,214586651,4083,1
351758,2014-04-05T17:29:59.853Z,214826702,837,1
351758,2014-04-05T17:29:59.901Z,214821277,1046,4
351758,2014-04-05T17:29:59.947Z,214826705,2092,1
351758,2014-04-05T17:30:00.006Z,214821277,1046,6
351758,2014-04-05T17:30:00.050Z,214826955,1360,2
351758,2014-04-05T17:30:00.051Z,214826627,523,2
420908,2014-04-06T12:50:46.333Z,214540035,5759,1
420908,2014-04-06T12:54:53.730Z,214540035,5759,1
491438,2014-04-03T12:11:36.678Z,214587317,837,1
491438,2014-04-03T12:11:36.749Z,214826837,627,1
491438,2014-04-03T12:11:36.835Z,214826872,523,1
209586,2014-04-05T15:06:31.003Z,214508287,1046,1
350169,2014-04-07T13:24:14.133Z,214826810,1046,1
350169,2014-04-07T13:24:14.138Z,214829310,4188,1
350169,2014-04-07T13:24:14.139Z,214533371,3141,1
350169,2014-04-07T13:24:14.142Z,214538981,4502,2
350024,2014-04-02T19:38:21.131Z,214832484,135,30
350024,2014-04-02T19:39:08.160Z,214832484,135,30
72388,2014-04-04T18:25:14.648Z,214840762,29217,1
349611,2014-04-07T18:52:18.497Z,214704275,941,1
349611,2014-04-07T18:52:18.605Z,214838833,627,1
349611,2014-04-07T18:52:18.713Z,214641967,1570,1
488229,2014-04-06T17:44:25.610Z,214821277,1046,2
488229,2014-04-06T17:44:25.656Z,214826803,4188,1
488229,2014-04-06T17:44:25.700Z,214821285,2092,1
488229,2014-04-06T17:45:55.308Z,214821277,1046,2
488229,2014-04-06T17:45:55.322Z,214826803,4188,1
488229,2014-04-06T17:45:55.335Z,214821285,2092,1
72004,2014-04-06T06:50:33.423Z,214709645,1778,1
72004,2014-04-06T06:50:33.430Z,214709634,837,1
72004,2014-04-06T06:50:33.440Z,214642560,523,1
349096,2014-04-05T14:26:50.949Z,214840762,29217,1
278614,2014-04-02T16:15:01.848Z,214826803,4188,2
488547,2014-04-02T11:48:22.335Z,214717095,41783,1
348444,2014-04-07T18:44:44.127Z,214826705,2092,1
348444,2014-04-07T18:44:44.181Z,214826608,313,1
348444,2014-04-07T18:44:44.287Z,214826801,523,1
419094,2014-04-01T14:37:26.920Z,214717003,2303,2
419094,2014-04-01T14:37:26.981Z,214838375,3350,1
3841,2014-04-01T19:20:05.835Z,214832655,3664,1
3841,2014-04-01T19:20:05.838Z,214832655,3455,1
3841,2014-04-01T19:20:07.977Z,214832655,3664,1
3841,2014-04-01T19:20:08.106Z,214832655,3455,1
4436,2014-04-04T19:55:17.084Z,214535683,2617,2
424288,2014-04-05T18:11:27.455Z,214821279,1570,1
206454,2014-04-03T06:19:18.638Z,214531910,313,3
206454,2014-04-03T06:19:18.714Z,214571276,523,3
424383,2014-04-02T13:59:33.992Z,214691587,1203,1
285046,2014-04-06T13:51:12.722Z,214744265,9947,1
425792,2014-04-01T08:46:44.920Z,214743350,1570,1
425792,2014-04-01T08:46:44.938Z,214717003,2931,1
285081,2014-04-05T08:19:12.173Z,214554950,1883,1
285081,2014-04-05T08:19:12.177Z,214717738,1883,1
285497,2014-04-01T19:09:56.444Z,214820233,1465,3
285497,2014-04-01T19:09:56.593Z,214600678,7328,1
6016,2014-04-06T08:41:13.241Z,214841006,8375,1
66869,2014-04-03T07:24:34.554Z,214821028,4188,2
346543,2014-04-04T16:28:09.211Z,214821277,1046,2
346543,2014-04-04T16:28:09.239Z,214821285,2092,2
346543,2014-04-04T16:28:09.248Z,214821290,1046,6
208593,2014-04-07T19:24:51.591Z,214647075,4188,1
146738,2014-04-03T04:07:11.810Z,214712272,837,1
146738,2014-04-03T04:07:11.823Z,214821380,1046,2
422256,2014-04-04T13:05:38.823Z,214820233,1465,2
422256,2014-04-04T13:05:38.856Z,214820261,4188,2
208797,2014-04-01T12:23:21.483Z,214586825,2617,1
345538,2014-04-06T13:01:34.641Z,214821285,2092,1
345538,2014-04-06T13:01:34.643Z,214821277,1046,2
345538,2014-04-06T13:01:34.650Z,214640017,1046,1
345538,2014-04-06T13:01:34.682Z,214821290,1046,4
421939,2014-04-01T06:54:07.081Z,214748336,1046,1
421939,2014-04-01T06:54:07.137Z,214819721,1046,1
